25754,SOACHA
20001,VALLEDUPAR
11001,BOGOTÁ D.C.
76001,CALI
66001,PEREIRA
19001,POPAYÁN
54001,CÚCUTA
76111,GUADALAJARA DE BUGA
5088,BELLO
5266,ENVIGADO
76113,BUGALAGRANDE
76122,CAICEDONIA
76622,ROLDANILLO
8758,SOLEDAD
52356,IPIALES
5001,MEDELLÍN
8001,BARRANQUILLA
25386,LA MESA
52835,SAN ANDRÉS DE TUMACO
41551,PITALITO
47245,EL BANCO
76109,BUENAVENTURA
23001,MONTERÍA
76520,PALMIRA
8433,MALAMBO
76147,CARTAGO
27001,QUIBDÓ
73001,IBAGUÉ
73449,MELGAR
63690,SALENTO
5615,RIONEGRO
47288,FUNDACIÓN
68081,BARRANCABERMEJA
25843,VILLA DE SAN DIEGO DE UBATÉ
47001,SANTA MARTA
25645,SAN ANTONIO DEL TEQUENDAMA
15238,DUITAMA
13001,CARTAGENA DE INDIAS
17001,MANIZALES
15001,TUNJA
76834,TULUÁ
23162,CERETÉ
23815,TUCHÍN
25572,PUERTO SALGAR
17867,VICTORIA
41319,GUADALUPE
13836,TURBACO
18001,FLORENCIA
73671,SALDAÑA
70001,SINCELEJO
70230,CHALÁN
68547,PIEDECUESTA
52001,PASTO
25019,ALBÁN
44650,SAN JUAN DEL CESAR
86320,ORITO
17873,VILLAMARÍA
52405,LEIVA
73349,HONDA
70233,EL ROBLE
73268,ESPINAL
8078,BARANOA
47189,CIÉNAGA
68001,BUCARAMANGA
81794,TAME
50001,VILLAVICENCIO
88001,SAN ANDRÉS
54405,LOS PATIOS
25269,FACATATIVÁ
76736,SEVILLA
25175,CHÍA
25290,FUSAGASUGÁ
19821,TORIBÍO
25286,FUNZA
13268,EL PEÑÓN
54874,VILLA DEL ROSARIO
68276,FLORIDABLANCA
85001,YOPAL
5360,ITAGÜÍ
20011,AGUACHICA
19698,SANTANDER DE QUILICHAO
68895,ZAPATOCA
47170,CHIVOLO
63001,ARMENIA
8638,SABANALARGA
5790,TARAZÁ
5667,SAN RAFAEL
13468,MOMPÓS
25473,MOSQUERA
5040,ANORÍ
73520,PALOCABILDO
5079,BARBOSA
13074,BARRANCO DE LOBA
8675,SANTA LUCÍA
86571,PUERTO GUZMÁN
15047,AQUITANIA
20178,CHIRIGUANÁ
5212,COPACABANA
23300,COTORRA
13430,MAGANGUÉ
52227,CUMBAL
23580,PUERTO LIBERTADOR
68167,CHARALÁ
5411,LIBORINA
81736,SARAVENA
20238,EL COPEY
50450,PUERTO CONCORDIA
73168,CHAPARRAL
5837,TURBO
47541,PEDRAZA
5172,CHIGORODÓ
23670,SAN ANDRÉS DE SOTAVENTO
52696,SANTA BÁRBARA
18410,LA MONTAÑITA
19300,GUACHENÉ
76400,LA UNIÓN
44078,BARRANCAS
25402,LA VEGA
5697,EL SANTUARIO
13442,MARÍA LA BAJA
25245,EL COLEGIO
5045,APARTADÓ
19532,PATÍA
54344,HACARÍ
19050,ARGELIA
27135,EL CANTÓN DEL SAN PABLO
27361,ISTMINA
68468,MOLAGAVITA
5656,SAN JERÓNIMO
68689,SAN VICENTE DE CHUCURÍ
20295,GAMARRA
19807,TIMBÍO
19130,CAJIBÍO
73200,COELLO
54206,CONVENCIÓN
23807,TIERRALTA
5480,MUTATÁ
63130,CALARCÁ
15176,CHIQUINQUIRÁ
15759,SOGAMOSO
41001,NEIVA
50573,PUERTO LÓPEZ
5237,DONMATÍAS
68190,CIMITARRA
20045,BECERRIL
5809,TITIRIBÍ
25126,CAJICÁ
25430,MADRID
5380,LA ESTRELLA
52678,SAMANIEGO
44847,URIBIA
99001,PUERTO CARREÑO
5129,CALDAS
63190,CIRCASIA
23466,MONTELÍBANO
73148,CARMEN DE APICALÁ
54810,TIBÚ
41359,ISNOS
23555,PLANETA RICA
17380,LA DORADA
76036,ANDALUCÍA
23068,AYAPEL
70713,SAN ONOFRE
41396,LA PLATA
20175,CHIMICHAGUA
25053,ARBELÁEZ
5310,GÓMEZ PLATA
68755,SOCORRO
44001,RIOHACHA
23672,SAN ANTERO
23574,PUERTO ESCONDIDO
47555,PLATO
8520,PALMAR DE VARELA
19517,PÁEZ
52838,TÚQUERRES
20013,AGUSTÍN CODAZZI
19256,EL TAMBO
23417,LORICA
25307,GIRARDOT
20250,EL PASO
44035,ALBANIA
25875,VILLETA
76130,CANDELARIA
23855,VALENCIA
68307,GIRÓN
41378,LA ARGENTINA
5002,ABEJORRAL
81220,CRAVO NORTE
76892,YUMBO
70708,SAN MARCOS
20228,CURUMANÍ
20383,LA GLORIA
8634,SABANAGRANDE
70429,MAJAGUAL
5038,ANGOSTURA
25743,SILVANIA
19100,BOLÍVAR
25295,GACHANCIPÁ
25758,SOPÓ
76364,JAMUNDÍ
5031,AMALFI
5154,CAUCASIA
44098,DISTRACCIÓN
13620,SAN CRISTÓBAL
73236,DOLORES
5631,SABANETA
86001,MOCOA
52250,EL CHARCO
19622,ROSAS
19513,PADILLA
25260,EL ROSAL
41006,ACEVEDO
17653,SALAMINA
41791,TARQUI
13838,TURBANÁ
63470,MONTENEGRO
8436,MANATÍ
95200,MIRAFLORES
50568,PUERTO GAITÁN
8573,PUERTO COLOMBIA
5665,SAN PEDRO DE URABÁ
52110,BUESACO
66170,DOSQUEBRADAS
68572,PUENTE NACIONAL
25899,ZIPAQUIRÁ
73563,PRADO
76275,FLORIDA
52520,FRANCISCO PIZARRO
41298,GARZÓN
66682,SANTA ROSA DE CABAL
52317,GUACHUCAL
19318,GUAPÍ
20750,SAN DIEGO
27099,BOJAYÁ
25653,SAN CAYETANO
70265,GUARANDA
41306,GIGANTE
52418,LOS ANDES
20517,PAILITAS
8137,CAMPO DE LA CRUZ
13006,ACHÍ
47707,SANTA ANA
50251,EL CASTILLO
25322,GUASCA
81065,ARAUQUITA
54498,OCAÑA
20621,LA PAZ
5138,CAÑASGORDAS
19392,LA SIERRA
19473,MORALES
41801,TERUEL
50318,GUAMAL
85230,OROCUÉ
50150,CASTILLA LA NUEVA
13683,SANTA ROSA
5036,ANGELÓPOLIS
5120,CÁCERES
